2019-06-19 14:00:14,054 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@64b52799: startup date [Wed Jun 19 14:00:14 CDT 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2019-06-19 14:07:15,536 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:51027 failed: java.io.IOException: Frame size of 1 GB larger than max allowed 100 MB | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:51027@61616
2019-06-19 15:41:23,268 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@64b52799: startup date [Wed Jun 19 15:41:23 CDT 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2019-06-19 15:41:28,239 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Kath\Desktop\apache-activemq-5.15.9\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-06-19 15:41:29,174 | INFO  | Page File: ..\..\data\kahadb\db.data. Recovering pageFile free list due to prior unclean shutdown.. | org.apache.activemq.store.kahadb.disk.page.PageFile | KahaDB Index Free Page Recovery
2019-06-19 15:41:29,174 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2019-06-19 15:41:29,332 | INFO  | Page File: ..\..\data\kahadb\db.data. Recovered pageFile free list of size: 0 | org.apache.activemq.store.kahadb.disk.page.PageFile | KahaDB Index Free Page Recovery
2019-06-19 15:41:29,346 | INFO  | Recovering from the journal @1:622 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2019-06-19 15:41:29,364 | INFO  | Recovery replayed 7 operations from the journal in 0.032 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2019-06-19 15:41:29,379 | INFO  | PListStore:[C:\Users\Kath\Desktop\apache-activemq-5.15.9\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2019-06-19 15:41:29,660 | INFO  | Apache ActiveMQ 5.15.9 (localhost, ID:DESKTOP-3B2UMQI-49769-1560976889424-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-06-19 15:41:30,346 | INFO  | Listening for connections at: tcp://DESKTOP-3B2UMQI:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-06-19 15:41:30,362 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-06-19 15:41:30,362 | INFO  | Listening for connections at: amqp://DESKTOP-3B2UMQI:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-06-19 15:41:30,377 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-06-19 15:41:30,377 | INFO  | Listening for connections at: stomp://DESKTOP-3B2UMQI:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-06-19 15:41:30,377 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-06-19 15:41:30,377 | INFO  | Listening for connections at: mqtt://DESKTOP-3B2UMQI:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-06-19 15:41:30,395 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-06-19 15:41:30,408 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2019-06-19 15:41:30,956 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2019-06-19 15:41:31,349 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@6a862b56{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | WrapperSimpleAppMain
2019-06-19 15:41:31,613 | INFO  | Listening for connections at ws://DESKTOP-3B2UMQI:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2019-06-19 15:41:31,613 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-06-19 15:41:31,613 | INFO  | Apache ActiveMQ 5.15.9 (localhost, ID:DESKTOP-3B2UMQI-49769-1560976889424-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-06-19 15:41:31,613 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-06-19 15:41:34,034 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | WrapperSimpleAppMain
2019-06-19 15:41:34,754 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2019-06-19 15:41:34,754 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2019-06-19 15:41:34,893 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2019-06-19 15:41:35,503 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | WrapperSimpleAppMain
2019-06-19 15:41:35,815 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | WrapperSimpleAppMain
2019-06-19 18:43:21,998 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@795db2a: startup date [Wed Jun 19 18:43:21 CDT 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2019-06-19 18:43:26,435 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Kath\Desktop\apache-activemq-5.15.9\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-06-19 18:43:27,451 | INFO  | Page File: ..\..\data\kahadb\db.data. Recovering pageFile free list due to prior unclean shutdown.. | org.apache.activemq.store.kahadb.disk.page.PageFile | KahaDB Index Free Page Recovery
2019-06-19 18:43:27,466 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2019-06-19 18:43:27,576 | INFO  | Page File: ..\..\data\kahadb\db.data. Recovered pageFile free list of size: 14 | org.apache.activemq.store.kahadb.disk.page.PageFile | KahaDB Index Free Page Recovery
2019-06-19 18:43:27,607 | INFO  | PListStore:[C:\Users\Kath\Desktop\apache-activemq-5.15.9\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2019-06-19 18:43:27,857 | INFO  | Apache ActiveMQ 5.15.9 (localhost, ID:DESKTOP-3B2UMQI-49783-1560987807638-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-06-19 18:43:28,279 | INFO  | Listening for connections at: tcp://DESKTOP-3B2UMQI:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-06-19 18:43:28,279 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-06-19 18:43:28,295 | INFO  | Listening for connections at: amqp://DESKTOP-3B2UMQI:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-06-19 18:43:28,295 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-06-19 18:43:28,295 | INFO  | Listening for connections at: stomp://DESKTOP-3B2UMQI:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-06-19 18:43:28,310 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-06-19 18:43:28,310 | INFO  | Listening for connections at: mqtt://DESKTOP-3B2UMQI:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-06-19 18:43:28,310 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-06-19 18:43:28,327 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2019-06-19 18:43:28,701 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2019-06-19 18:43:28,983 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@15bf834b{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | WrapperSimpleAppMain
2019-06-19 18:43:29,232 | INFO  | Listening for connections at ws://DESKTOP-3B2UMQI:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2019-06-19 18:43:29,232 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-06-19 18:43:29,232 | INFO  | Apache ActiveMQ 5.15.9 (localhost, ID:DESKTOP-3B2UMQI-49783-1560987807638-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-06-19 18:43:29,232 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-06-19 18:43:31,827 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | WrapperSimpleAppMain
2019-06-19 18:43:32,623 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2019-06-19 18:43:32,623 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2019-06-19 18:43:33,078 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2019-06-19 18:43:33,843 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | WrapperSimpleAppMain
2019-06-19 18:43:34,155 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | WrapperSimpleAppMain
2019-06-19 19:37:46,827 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:50716 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: tcp://0:0:0:0:0:0:0:1:50716 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2019-06-19 19:50:59,253 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@74b8e55e: startup date [Wed Jun 19 19:50:59 CDT 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2019-06-19 19:51:04,233 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Kath\Desktop\apache-activemq-5.15.9\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-06-19 19:51:04,924 | INFO  | Page File: ..\..\data\kahadb\db.data. Recovering pageFile free list due to prior unclean shutdown.. | org.apache.activemq.store.kahadb.disk.page.PageFile | KahaDB Index Free Page Recovery
2019-06-19 19:51:04,933 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2019-06-19 19:51:05,101 | INFO  | Page File: ..\..\data\kahadb\db.data. Recovered pageFile free list of size: 9 | org.apache.activemq.store.kahadb.disk.page.PageFile | KahaDB Index Free Page Recovery
2019-06-19 19:51:05,124 | INFO  | PListStore:[C:\Users\Kath\Desktop\apache-activemq-5.15.9\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2019-06-19 19:51:05,412 | INFO  | Apache ActiveMQ 5.15.9 (localhost, ID:DESKTOP-3B2UMQI-49737-1560991865193-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-06-19 19:51:05,884 | INFO  | Listening for connections at: tcp://DESKTOP-3B2UMQI:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-06-19 19:51:05,935 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-06-19 19:51:05,944 | INFO  | Listening for connections at: amqp://DESKTOP-3B2UMQI:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-06-19 19:51:05,947 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-06-19 19:51:05,956 | INFO  | Listening for connections at: stomp://DESKTOP-3B2UMQI:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-06-19 19:51:05,960 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-06-19 19:51:05,976 | INFO  | Listening for connections at: mqtt://DESKTOP-3B2UMQI:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-06-19 19:51:05,983 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-06-19 19:51:06,006 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2019-06-19 19:51:06,231 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2019-06-19 19:51:06,491 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@4ad2011e{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | WrapperSimpleAppMain
2019-06-19 19:51:06,879 | INFO  | Listening for connections at ws://DESKTOP-3B2UMQI:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2019-06-19 19:51:06,881 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-06-19 19:51:06,882 | INFO  | Apache ActiveMQ 5.15.9 (localhost, ID:DESKTOP-3B2UMQI-49737-1560991865193-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-06-19 19:51:06,884 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-06-19 19:51:09,400 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | WrapperSimpleAppMain
2019-06-19 19:51:10,661 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2019-06-19 19:51:10,661 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2019-06-19 19:51:11,064 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2019-06-19 19:51:12,150 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | WrapperSimpleAppMain
2019-06-19 19:51:12,370 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | WrapperSimpleAppMain
2019-06-20 00:41:11,121 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@64b52799: startup date [Thu Jun 20 00:41:11 CDT 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2019-06-20 00:41:15,554 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Kath\Desktop\apache-activemq-5.15.9\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-06-20 00:41:16,423 | INFO  | Page File: ..\..\data\kahadb\db.data. Recovering pageFile free list due to prior unclean shutdown.. | org.apache.activemq.store.kahadb.disk.page.PageFile | KahaDB Index Free Page Recovery
2019-06-20 00:41:16,432 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2019-06-20 00:41:16,620 | INFO  | Page File: ..\..\data\kahadb\db.data. Recovered pageFile free list of size: 9 | org.apache.activemq.store.kahadb.disk.page.PageFile | KahaDB Index Free Page Recovery
2019-06-20 00:41:16,651 | INFO  | PListStore:[C:\Users\Kath\Desktop\apache-activemq-5.15.9\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2019-06-20 00:41:16,873 | INFO  | Apache ActiveMQ 5.15.9 (localhost, ID:DESKTOP-3B2UMQI-49740-1561009276695-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-06-20 00:41:17,255 | INFO  | Listening for connections at: tcp://DESKTOP-3B2UMQI:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-06-20 00:41:17,260 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-06-20 00:41:17,268 | INFO  | Listening for connections at: amqp://DESKTOP-3B2UMQI:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-06-20 00:41:17,273 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-06-20 00:41:17,280 | INFO  | Listening for connections at: stomp://DESKTOP-3B2UMQI:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-06-20 00:41:17,285 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-06-20 00:41:17,294 | INFO  | Listening for connections at: mqtt://DESKTOP-3B2UMQI:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-06-20 00:41:17,298 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-06-20 00:41:17,318 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2019-06-20 00:41:17,535 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2019-06-20 00:41:17,744 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@18f18b01{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | WrapperSimpleAppMain
2019-06-20 00:41:18,031 | INFO  | Listening for connections at ws://DESKTOP-3B2UMQI:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2019-06-20 00:41:18,032 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-06-20 00:41:18,034 | INFO  | Apache ActiveMQ 5.15.9 (localhost, ID:DESKTOP-3B2UMQI-49740-1561009276695-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-06-20 00:41:18,037 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-06-20 00:41:20,402 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | WrapperSimpleAppMain
2019-06-20 00:41:21,463 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2019-06-20 00:41:21,464 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2019-06-20 00:41:21,697 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2019-06-20 00:41:22,420 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | WrapperSimpleAppMain
2019-06-20 00:41:22,631 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | WrapperSimpleAppMain
2019-06-20 02:27:02,515 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@64b52799: startup date [Thu Jun 20 02:27:02 CDT 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2019-06-20 02:27:14,236 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Kath\Documents\apache-activemq-5.15.9\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-06-20 02:27:15,436 | INFO  | Page File: ..\..\data\kahadb\db.data. Recovering pageFile free list due to prior unclean shutdown.. | org.apache.activemq.store.kahadb.disk.page.PageFile | KahaDB Index Free Page Recovery
2019-06-20 02:27:15,436 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2019-06-20 02:27:15,608 | INFO  | Page File: ..\..\data\kahadb\db.data. Recovered pageFile free list of size: 9 | org.apache.activemq.store.kahadb.disk.page.PageFile | KahaDB Index Free Page Recovery
2019-06-20 02:27:15,639 | INFO  | PListStore:[C:\Users\Kath\Documents\apache-activemq-5.15.9\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2019-06-20 02:27:16,435 | INFO  | Apache ActiveMQ 5.15.9 (localhost, ID:DESKTOP-3B2UMQI-49704-1561015635686-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-06-20 02:27:17,028 | INFO  | Listening for connections at: tcp://DESKTOP-3B2UMQI:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
